R	AGN%	U

21.791	0	-4.54
21.291	0	-3.54
20.791	0	-2.54
20.291	0	-1.54
19.791	0	-0.54
19.291	0	0.46
21.791	10	-4.41
21.291	10	-3.41
20.791	10	-2.41
20.291	10	-1.41
19.791	10	-0.41
19.291	10	0.59
21.791	20	-4.31
21.291	20	-3.31
20.791	20	-2.31
20.291	20	-1.31
19.791	20	-0.31
19.291	20	0.69
21.791	30	-4.22
21.291	30	-3.22
20.791	30	-2.22
20.291	30	-1.22
19.791	30	-0.22
19.291	30	0.78
21.791	40	-4.16
21.291	40	-3.16
20.791	40	-2.16
20.291	40	-1.16
19.791	40	-0.16
19.291	40	0.84
21.791	50	-4.1
21.291	50	-3.1
20.791	50	-2.1
20.291	50	-1.1
19.791	50	-0.1
19.291	50	0.9
21.791	60	-4.05
21.291	60	-3.05
20.791	60	-2.05
20.291	60	-1.05
19.791	60	-0.05
19.291	60	0.95
21.791	70	-4
21.291	70	-3
20.791	70	-2
20.291	70	-1
19.791	70	0
19.291	70	1
21.791	80	-3.97
21.291	80	-2.97
20.791	80	-1.97
20.291	80	-0.97
19.791	80	0.03
19.291	80	1.03
21.791	90	-3.93
21.291	90	-2.93
20.791	90	-1.93
20.291	90	-0.93
19.791	90	0.07
19.291	90	1.07
21.791	100	-3.9
21.291	100	-2.9
20.791	100	-1.9
20.291	100	-0.9
19.791	100	0.1
19.291	100	1.1

